INFO  - 2014-11-12 17:17:47.717; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-11-12 17:17:47.726; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.726; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.726; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.727; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.733; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.734; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.736; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-11-12 17:17:47.736; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.736; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-11-12 17:17:47.738; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.739; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.739; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.741; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.743; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-11-12 17:17:47.746; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-11-12 17:17:47.755; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
